Simulation,Halo_ID,Inferred B/A,B/A Mean,B/A Std,Inferred C/A,C/A Mean,C/A Std,Inferred σB,σB Mean,σB Std,Inferred σC,σC Mean,σC Std
h229.cosmo50PLK.3072gst5HbwK1BH,2,0.9848379013244389,0.9703740135663398,0.05043408083362276,0.3540494114732232,0.35360903575473884,0.025495843793412028,0.006295907787239612,0.0135108677494732,0.02016317048251742,0.010896467428568452,0.01056510123690294,0.005281664507661573
h229.cosmo50PLK.3072gst5HbwK1BH,3,0.5599015225033401,0.5636326781298728,0.027858903472073693,0.4520466674811393,0.45169390638943496,0.00370757585995352,0.01249157447703087,0.021298610038139126,0.010636535732244204,0.005588843132106043,0.006088887635153626,0.0037312160758621524
h229.cosmo50PLK.3072gst5HbwK1BH,5,0.9646861368849992,0.941804621936553,0.06072012933477526,0.6121724073961429,0.6154947756461664,0.02314237149126345,0.026917575235956673,0.021869967240915344,0.0228713701123801,0.006720051186457155,0.006723805799382191,0.007513619457061775
h229.cosmo50PLK.3072gst5HbwK1BH,18,0.8812822721178518,0.9058514862093413,0.03701765399258249,0.8605419897682616,0.8562824554873333,0.006542069182642136,0.019451515359968516,0.021208910630589606,0.01123899459530331,0.013423687258649002,0.010038155624738688,0.004623070191648925
h242.cosmo50PLK.3072gst5HbwK1BH,8,0.8977717986423964,0.8847709961850362,0.07918047113509748,0.40934569513646535,0.43675454347848636,0.044033046334766124,0.009800580597357441,0.03077052386925521,0.04000090015189258,0.02508822776035826,0.03857682107821397,0.018430808148075715
h242.cosmo50PLK.3072gst5HbwK1BH,10,0.9497404661571004,0.913003427268945,0.09731164389913104,0.6560284024878578,0.6639805146630918,0.00951735210791242,0.025249347802137785,0.025234433637989332,0.012301707129445604,0.0012867161622536279,0.010750140604683035,0.008172230403634123
h242.cosmo50PLK.3072gst5HbwK1BH,11,0.9613443347470381,0.8991458716584145,0.10421745979036168,0.6302569249142455,0.6308371927218137,0.01073615653471379,0.021429433368235877,0.02316022786322452,0.015215979754890693,0.015885911434234946,0.019604257931950225,0.007194037915776253
h242.cosmo50PLK.3072gst5HbwK1BH,13,0.8855879786284769,0.8881555051755943,0.014121635430436624,0.7980299169984533,0.8033809209026898,0.0074908059973364804,0.01654235542829065,0.022998820797643996,0.013921168744734602,0.03567395539908345,0.034643748839051414,0.006194174777700319
h329.cosmo50PLK.3072gst5HbwK1BH,7,0.777500514987793,0.7870958755351068,0.006798355856600424,0.6161302688493691,0.6151561984452801,0.003306317108780362,0.007082021404754983,0.015154898816701507,0.008322410760275753,0.00791403563127957,0.00807081154639896,0.003913784142228671
r1023.romulus25.3072g1HsbBH,2,0.7510941325486157,0.7515907354715986,0.027137668046604214,0.587326139183681,0.5884435828954679,0.0030848356008360937,0.04798876876394976,0.051174239316348534,0.021284633479317267,0.0024301616221869588,0.006269920176571245,0.004659443252141704
r442.romulus25.3072g1HsbBH,1,0.9345755456550497,0.933442895711111,0.013424599746995365,0.22804059884881958,0.2300547962030032,0.003309786333093374,0.010601699990593707,0.02787378804021372,0.017331494156981368,0.00373729052077871,0.0110026435300397,0.004569608480275559
r468.romulus25.3072g1HsbBH,1,0.9119569480408098,0.8951532358287696,0.032995660301936944,0.7199671561157154,0.7267898261483221,0.011085184404166261,0.024527361384563094,0.033883985079429024,0.02189605086686934,0.043613886275537805,0.041791028848388964,0.005545464702147707
r488.romulus25.3072g1HsbBH,1,0.7737148272445078,0.7546783340613958,0.02602380596997287,0.4937475808871547,0.5017577813749837,0.022190315724063877,0.04143664656830958,0.060742550764086446,0.016917867522838807,0.012626544992119626,0.021274115104893226,0.01495676435279331
r489.romulus25.3072g1HsbBH,1,0.8823987907528028,0.8729647857917446,0.020141354080395312,0.19772850693123925,0.2112862851459936,0.009113686053192818,0.015920472139238938,0.032304724465216594,0.031132028375329676,0.038811758706315876,0.04881601053907472,0.007434195633699549
r492.romulus25.3072g1HsbBH,1,0.8511442932732559,0.8467331802862895,0.03965730390836392,0.15324704107686293,0.1557505747718844,0.02820339471097216,0.035401134016311474,0.03931236064058006,0.030075866703774774,0.017294154903732397,0.01857965921137534,0.014567094628555119
r502.romulus25.3072g1HsbBH,1,0.958833941213786,0.9449241752421771,0.043801504659143356,0.43638662953614016,0.43994768295438064,0.028009755693009446,0.004295301086994066,0.024302370694167453,0.025675146963928447,0.03988396129694498,0.039579913586749324,0.012349997613565285
r515.romulus25.3072g1HsbBH,1,0.8428003006080207,0.8321196270483012,0.03662054077149113,0.1243376638927096,0.1299963175148457,0.029543629945669014,0.06661437195960573,0.06955038889089285,0.0321188422251619,0.0030642786852518008,0.007879917263693019,0.02402632225320194
r523.romulus25.3072g1HsbBH,1,0.915516833855117,0.9025005043587957,0.07133943412526712,0.18395918088967256,0.197809150804178,0.05527581909406719,0.013439453004804482,0.036892338078652276,0.04421631592365357,0.01460882538118207,0.022615252666276942,0.023780075719032023
r544.romulus25.3072g1HsbBH,1,0.9750477690167165,0.9545105617881812,0.04274830682496952,0.15426113806274927,0.16131431137984462,0.032165217044649204,0.015601083367801848,0.02334982007336147,0.03878079604466661,0.006499486413276333,0.01941909232152281,0.0417185147784112
r552.romulus25.3072g1HsbBH,1,0.8786722263135769,0.8651413128243967,0.053473092818754134,0.16753239117446453,0.18305674015200626,0.053092144504331626,0.03251650846171612,0.0467118507792541,0.05098899054577963,0.019005087132559176,0.03392335862385063,0.04880123014640184
r555.romulus25.3072g1HsbBH,1,0.3704080172906494,0.3858400060174499,0.05909777195095966,0.3481901135016642,0.34404717079806907,0.005144286165587867,0.007376164839934779,0.014634178234734726,0.01304773565940862,0.009395807530038765,0.008744313808758564,0.004280033259956643
r556.romulus25.3072g1HsbBH,1,0.7346258867980721,0.7164310190822655,0.029642590070184778,0.3158349451691079,0.3161582116559064,0.021814610788968337,0.09192259163430502,0.09006470050936799,0.019383011736535442,0.0048501968023958964,0.009551254171119081,0.00814916449214631
r563.romulus25.3072g1HsbBH,1,0.394730730203456,0.387839033658768,0.021112624214830282,0.13467941456333007,0.14178844441756894,0.012963033700414127,0.09821965410259101,0.09124080115687362,0.015289409177636614,0.002308852379105904,0.011616842810094199,0.0108642961349059
